,LR,DT,KNN,RF,SVM
Acurácia,0.810,0.793,0.794,0.809,0.800
Precisão,0.672,0.677,0.612,0.686,0.637
Recall,0.552,0.418,0.612,0.518,0.567
F1-Score,0.606,0.517,0.612,0.590,0.600
F2.-Score,0.573,0.452,0.612,0.545,0.580
AUROC,0.858,0.837,0.847,0.854,0.847
AUPRC,0.679,0.665,0.658,0.683,0.665
